workout_id,workout_date,workout_type,distance,entry_date,entry_time
113,12/06/2015,Run,7,05/12/2017,23:00:00
114,15/06/2015,Run,7,05/12/2017,23:00:00
115,16/06/2015,Gym,1,05/12/2017,23:00:00
116,21/06/2015,Run,5,05/12/2017,23:00:00
117,21/06/2015,Swim,0.75,05/12/2017,23:00:00
118,22/06/2015,Cycle,20,05/12/2017,23:00:00
119,24/06/2015,Run,3.7,05/12/2017,23:00:00
120,27/06/2015,Swim,0.5,05/12/2017,23:00:00
121,29/06/2015,Run,3.6,05/12/2017,23:00:00
122,01/07/2015,Run,6.4,05/12/2017,23:00:00
123,03/07/2015,Swim,2,05/12/2017,23:00:00
124,04/07/2015,Gym,1,05/12/2017,23:00:00
125,05/07/2015,Hike,1,05/12/2017,23:00:00
126,06/07/2015,Run,7,05/12/2017,23:00:00
127,09/07/2015,Run,8.7,05/12/2017,23:00:00
128,09/07/2015,Swim,1,05/12/2017,23:00:00
129,11/07/2015,Run,4.5,05/12/2017,23:00:00
130,13/07/2015,Gym,1,05/12/2017,23:00:00
131,16/07/2015,Gym,1,05/12/2017,23:00:00
132,17/07/2015,Swim,1,05/12/2017,23:00:00
133,18/07/2015,Gym,1,05/12/2017,23:00:00
134,27/07/2015,Yoga,1,05/12/2017,23:00:00
135,28/07/2015,Yoga,1,05/12/2017,23:00:00
136,31/07/2015,Run,8,05/12/2017,23:00:00
137,01/08/2015,Cycle,25,05/12/2017,23:00:00
138,02/08/2015,Cycle,100,05/12/2017,23:00:00
139,07/08/2015,Run,6.8,05/12/2017,23:00:00
140,17/08/2015,Run,10.5,05/12/2017,23:00:00
141,21/08/2015,Gym,1,05/12/2017,23:00:00
142,22/08/2015,Run,10.5,05/12/2017,23:00:00
143,25/08/2015,Gym,1,05/12/2017,23:00:00
144,26/08/2015,Gym,1,05/12/2017,23:00:00
145,27/08/2015,Yoga,1,05/12/2017,23:00:00
146,28/08/2015,Run,1,05/12/2017,23:00:00
147,29/08/2015,Yoga,1,05/12/2017,23:00:00
148,30/08/2015,Gym,1,05/12/2017,23:00:00
149,31/08/2015,Cycle,100,05/12/2017,23:00:00
150,02/09/2015,Yoga,1,05/12/2017,23:00:00
151,03/09/2015,Run,3.6,05/12/2017,23:00:00
152,05/09/2015,Cycle,145,05/12/2017,23:00:00
153,11/09/2015,Run,11,05/12/2017,23:00:00
154,14/09/2015,Gym,1,05/12/2017,23:00:00
155,15/09/2015,Gym,1,05/12/2017,23:00:00
156,16/09/2015,Yoga,1,05/12/2017,23:00:00
157,18/09/2015,Gym,1,05/12/2017,23:00:00
158,19/09/2015,Run,7,05/12/2017,23:00:00
159,20/09/2015,Gym,1,05/12/2017,23:00:00
160,25/09/2015,Gym,1,05/12/2017,23:00:00
161,26/09/2015,Cycle,20,05/12/2017,23:00:00
162,27/09/2015,Hike,1,05/12/2017,23:00:00
163,30/09/2015,Hike,1,05/12/2017,23:00:00
164,01/10/2015,Gym,1,05/12/2017,23:00:00
165,02/10/2015,Run,3,05/12/2017,23:00:00
166,03/10/2015,Gym,1,05/12/2017,23:00:00
167,04/10/2015,Hike,1,05/12/2017,23:00:00
168,06/10/2015,Run,3,05/12/2017,23:00:00
169,07/10/2015,Gym,1,05/12/2017,23:00:00
